date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,7,2.341137123745819
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.33444816053511706
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,39,13.043478260869565
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,252,84.2809364548495
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,8,2.185792349726776
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.273224043715847
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,48,13.114754098360656
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,309,84.42622950819673
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,4,1.1049723756906076
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,38,10.497237569060774
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,320,88.39779005524862
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,4,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,5,1.1520737327188941
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,4,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,2,0.4608294930875576
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,4,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,90,20.737327188940093
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,4,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,337,77.64976958525345
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,5,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,4,1.0389610389610389
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,5,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,3,0.7792207792207793
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,5,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,98,25.454545454545453
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,5,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,280,72.72727272727273
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,6,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,5,1.2987012987012987
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,6,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.2597402597402597
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,6,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,73,18.961038961038962
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,6,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,306,79.48051948051949
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,7,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,6,1.6129032258064515
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,7,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,4,1.0752688172043012
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,7,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,80,21.50537634408602
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,7,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,282,75.80645161290323
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,8,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,5,1.2658227848101267
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,8,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,2,0.5063291139240507
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,8,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,80,20.253164556962027
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,8,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,308,77.9746835443038
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,9,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,6,1.4925373134328357
